ticker,market,currency,price,day_chg,ytd_chg,ret_1m,ret_3m,ret_6m,ret_1y,high_52w,low_52w,from_ath,rsi,vol_ratio,ma20,ma50,ma200,score,name
1812.T,JP,JPY,5907.0,-0.87,-0.47,-1.58,-8.03,27.63,84.19,7599.77,3206.98,-22.27,46.3,0.89,6082.95,6313.21,5285.23,2,1812.T
2938.T,JP,JPY,1191.0,-0.42,13.54,1.19,2.41,-3.04,47.84,1410.62,802.62,-15.57,41.2,0.94,1224.95,1213.9,1175.52,2,2938.T
6203.T,JP,JPY,1493.0,-1.19,23.89,-1.45,6.01,11.31,42.71,1973.94,954.4,-24.36,50.7,1.01,1462.95,1605.37,1325.3,2,6203.T
8411.T,JP,JPY,6427.0,-0.85,10.67,1.91,-3.42,33.98,90.94,7777.59,3349.49,-17.37,48.5,0.8,6613.15,6575.91,5494.25,2,8411.T
3892.T,JP,JPY,1689.0,-0.82,4.19,-0.06,-4.79,11.01,21.34,1995.0,1364.9,-15.34,42.9,0.92,1693.85,1752.88,1608.92,2,3892.T
4361.T,JP,JPY,1486.0,-0.34,3.84,-1.26,-7.41,-2.26,24.81,1910.0,1190.63,-22.2,54.4,0.87,1486.45,1529.2,1478.7,2,4361.T
6803.T,JP,JPY,109.0,0.0,18.23,-4.39,9.96,14.54,54.87,132.83,70.38,-17.94,50.0,0.73,109.65,115.59,100.51,2,6803.T
6159.T,JP,JPY,2100.0,0.0,0.33,-2.33,-4.98,14.75,38.97,2765.0,1449.91,-24.05,45.3,0.0,2161.25,2227.82,1949.11,2,6159.T
4885.T,JP,JPY,1002.0,-1.18,19.57,-1.38,3.09,37.63,19.36,1350.0,705.32,-25.78,44.4,0.53,1025.75,1101.04,863.18,2,4885.T
1820.T,JP,JPY,5693.0,-1.06,0.13,-2.72,-2.7,10.85,16.81,6732.94,4573.74,-15.45,44.7,0.9,5758.65,6022.64,5445.13,2,1820.T
7345.T,JP,JPY,1015.0,-2.31,45.83,-9.7,26.72,65.31,77.45,1222.0,537.0,-16.94,37.3,0.35,1061.65,1056.44,742.79,2,7345.T
1803.T,JP,JPY,2816.5,0.59,4.8,-1.43,1.92,43.52,104.38,3524.96,1378.05,-20.1,48.3,1.37,2849.97,3042.39,2417.92,2,1803.T
1802.T,JP,JPY,3597.0,-0.8,9.87,-6.67,0.38,43.62,74.17,4363.91,2065.18,-17.57,40.5,0.98,3747.6,3880.93,3020.64,2,1802.T
1801.T,JP,JPY,15685.0,-1.45,3.6,-4.74,0.23,46.66,119.15,20163.44,7157.36,-22.21,48.4,0.66,16197.25,17078.8,13053.51,2,1801.T
1788.T,JP,JPY,5050.0,0.0,5.65,-1.37,-3.07,10.5,27.18,6000.0,3805.0,-15.83,45.2,0.0,5123.0,5300.4,4662.98,2,1788.T
8563.T,JP,JPY,958.0,-1.34,8.55,-3.52,0.29,29.43,48.48,1166.41,635.52,-17.87,41.9,0.61,994.75,1029.76,848.19,2,8563.T
7810.T,JP,JPY,183.0,-2.14,24.49,-1.61,23.65,19.61,1.89,361.0,141.0,-49.31,46.6,0.86,187.65,204.72,168.47,2,7810.T
8624.T,JP,JPY,1401.0,-3.18,31.39,-3.31,17.79,70.42,112.51,1570.0,659.27,-10.76,31.7,0.88,1502.65,1404.75,1010.08,2,8624.T
4395.T,JP,JPY,1129.0,-2.67,0.89,-2.34,-0.79,8.17,49.2,1491.84,756.7,-24.32,53.0,1.12,1134.85,1175.7,1060.0,2,4395.T
